URI,Label,Comment,Domain,Range,Vocabulary
http://mlcommons.org/croissant/annotation,annotation,One or more data-level annotations that apply to the entire record or field.,"http://mlcommons.org/croissant/Field, http://mlcommons.org/croissant/RecordSet",http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/arrayShape,arrayShape,"Shape of the data tensor/array associated with a field (e.g., [height, width, bands] for imagery).",http://mlcommons.org/croissant/Field,https://schema.org/Text,Core
http://mlcommons.org/croissant/citeAs,citeAs,"How to cite this dataset. Ideally, citations should be expressed using the bibtex format. Note that this is different from schema.org/citation, which is used to make a citation to another publication from this dataset.",https://schema.org/Dataset,https://schema.org/Text,Core
http://mlcommons.org/croissant/column,column,"In case the data source is tabular, the id of a column to extract.",http://mlcommons.org/croissant/Extract,https://schema.org/Text,Core
http://mlcommons.org/croissant/containedIn,containedIn,"Another FileObject, FileSet or DataSource that this one is contained in, e.g., in the case of a file extracted from an archive. When this property is present, the contentUrl is evaluated as a relative path within the container object.","http://mlcommons.org/croissant/FileObject, http://mlcommons.org/croissant/FileSet","http://mlcommons.org/croissant/DataSource, http://mlcommons.org/croissant/FileObject, http://mlcommons.org/croissant/FileSet",Core
http://mlcommons.org/croissant/content,content,"What to extract from the data source content, e.g., lines.",http://mlcommons.org/croissant/Extract,http://mlcommons.org/croissant/ContentExtractionEnumeration,Core
http://mlcommons.org/croissant/data,data,"One or more inlined records that constitute the data of the RecordSet, typically used for small enumeration values.",http://mlcommons.org/croissant/RecordSet,http://www.w3.org/1999/02/22-rdf-syntax-ns#JSON,Core
http://mlcommons.org/croissant/dataType,dataType,"The data type of the field, identified by the URI of the corresponding class. It could be either an atomic type (e.g, sc:Integer) or a semantic type (e.g., sc:GeoLocation).","http://mlcommons.org/croissant/Field, http://mlcommons.org/croissant/RecordSet",http://mlcommons.org/croissant/DataType,Core
https://schema.org/distribution,distribution,"By contrast with schema.org/Dataset, Croissant requires the distribution property to have values of type FileObject or FileSet.",https://schema.org/Dataset,"http://mlcommons.org/croissant/FileObject, http://mlcommons.org/croissant/FileSet",Core
http://mlcommons.org/croissant/equivalentProperty,equivalentProperty,A property that is equivalent to this Field. Used in the case a dataType is specified on the RecordSet to map specific fields to specific properties associated with that dataType.,http://mlcommons.org/croissant/Field,https://schema.org/URL,Core
http://mlcommons.org/croissant/examples,examples,One more inlined records provided as example content of the RecordSet.,http://mlcommons.org/croissant/RecordSet,http://www.w3.org/1999/02/22-rdf-syntax-ns#JSON,Core
http://mlcommons.org/croissant/excludes,excludes,"A glob pattern that specifies the files to exclude. The pattern is evaluated from the root of the containedIn contents, after the includes patterns have been evaluated.",http://mlcommons.org/croissant/FileSet,https://schema.org/Text,Core
http://mlcommons.org/croissant/extract,extract,The extraction method from the provided source.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/Extract,Core
http://mlcommons.org/croissant/field,field,"A data element that appears in the records of the RecordSet (e.g., one column of a table).",http://mlcommons.org/croissant/RecordSet,http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/fileObject,fileObject,The id of a FileObject that is the source of the data.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/FileObject,Core
http://mlcommons.org/croissant/fileProperty,fileProperty,"The file property to extract from the data source metadata, e.g., the filename.",http://mlcommons.org/croissant/Extract,http://mlcommons.org/croissant/FilePropertyEnumeration,Core
http://mlcommons.org/croissant/fileSet,fileSet,The id of a FileSet that is the source of the data.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/FileSet,Core
http://mlcommons.org/croissant/format,format,"A format to parse the values of the data from text, e.g., a date format or number format.",http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/Format,Core
http://mlcommons.org/croissant/includes,includes,"A glob pattern that specifies the files to include, e.g., "".jpg"", ""/foo/pic*.jpg"". The pattern is evaluated from the root of the containedIn contents.",http://mlcommons.org/croissant/FileSet,https://schema.org/Text,Core
http://mlcommons.org/croissant/isLiveDataset,isLiveDataset,Indicates that the dataset is continuously updated instead of being versioned.,https://schema.org/Dataset,https://schema.org/Boolean,Core
http://mlcommons.org/croissant/jsonPath,jsonPath,"In case the data source is JSON data, a path expression to extract a subset of the data.",http://mlcommons.org/croissant/Extract,https://schema.org/Text,Core
http://mlcommons.org/croissant/key,key,One or more fields whose values uniquely identify each record in the RecordSet. (See example below.),http://mlcommons.org/croissant/RecordSet,http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/md5,md5,The MD5 hash of the file.,http://mlcommons.org/croissant/FileObject,https://schema.org/Text,Core
http://mlcommons.org/croissant/parentField,parentField,A special case of SubField that should be hidden because it references a Field that already appears in the RecordSet.,http://mlcommons.org/croissant/Field,http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/readLines,readLines,Read the content of the file line by line.,http://mlcommons.org/croissant/Transform,https://schema.org/Boolean,Core
http://mlcommons.org/croissant/recordSet,recordSet,The id of a RecordSet that is the source of the data.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/RecordSet,Core
